,Participant,X0,Y0,Xt,Yt,MT,strategy,block,Xf,A
182,15,-0.7196272802969763,,,,1.0,2,1,141.79145451756432,150.0
183,15,0.01840823861100427,,,,0.41000000000000014,2,1,152.52257038908212,150.0
184,15,-0.20982116102115594,,,,0.8000000000000007,2,1,153.38164771725175,150.0
185,15,-0.048337191208475884,,,,0.7999999999999989,2,1,149.01028991425758,150.0
186,15,0.05257561482415576,,,,0.4299999999999997,2,1,141.32091184043165,150.0
187,15,-0.04903062597194037,,,,0.620000000000001,2,1,148.68452414414577,150.0
188,15,-0.04722350725664716,,,,0.5499999999999972,2,1,151.91510493539036,150.0
189,15,-0.010945037678557805,,,,0.7399999999999984,2,1,153.84605943453235,150.0
190,15,-0.07023082946990639,,,,0.5199999999999996,2,1,136.5228476956884,150.0
191,15,0.05146797686807435,,,,0.5,2,1,149.29853388184773,150.0
192,15,0.04456123845697791,,,,0.41000000000000014,2,1,133.50238510862104,150.0
193,15,0.0751907093772615,,,,0.7699999999999996,2,1,146.25334739530666,150.0
194,15,0.010160167190347002,,,,0.41000000000000014,2,1,149.2496829446824,150.0
195,15,0.01600954495242428,,,,0.75,2,1,149.8375674071901,150.0
196,15,-0.03586070621272783,,,,2.24,5,5,149.8276663125156,150.0
197,15,-0.13088762183336858,,,,1.1799999999999997,5,5,150.01933125981432,150.0
198,15,-0.020796299372705995,,,,0.9699999999999998,5,5,149.67815478580386,150.0
199,15,0.04226347187614418,,,,0.8499999999999996,5,5,150.11685522439797,150.0
200,15,-0.06256050768154771,,,,1.42,5,5,149.7943593999108,150.0
201,15,0.11506122622520808,,,,1.3199999999999985,5,5,149.83570988788094,150.0
202,15,-0.16291886945778072,,,,1.6099999999999994,5,5,149.69004669561625,150.0
203,15,-0.061536358990463266,,,,1.5800000000000018,5,5,149.7273314259635,150.0
204,15,-0.02537157344444799,,,,1.7100000000000009,5,5,149.58555405687588,150.0
205,15,-0.044280799841504334,,,,1.740000000000002,5,5,149.67511763471575,150.0
206,15,0.007858548391924219,,,,1.5700000000000003,5,5,149.90365300729482,150.0
207,15,-0.08675762703712808,,,,1.0600000000000023,5,5,149.89946718122314,150.0
208,15,0.08127864092080127,,,,1.1500000000000057,5,5,149.86320020041762,150.0
209,15,0.0682624110956399,,,,1.1099999999999994,5,5,149.83787306954872,150.0
210,15,0.08055342482521784,,,,1.3599999999999994,5,5,149.68715600825303,150.0
211,15,0.0428744235691985,,,,1.2000000000000028,5,5,149.77629289272465,150.0
212,15,0.03420704825062753,,,,1.42,5,3,149.67832524228018,150.0
213,15,0.11654821899409057,,,,1.1800000000000002,5,3,149.8605823429562,150.0
214,15,0.05907211964734194,,,,1.1600000000000001,5,3,149.7349268942643,150.0
215,15,-0.029870648404191884,,,,1.37,5,3,150.00791454265078,150.0
216,15,-0.21765370205500587,,,,1.2799999999999994,5,3,149.69821838964577,150.0
217,15,-0.07240039698200432,,,,0.7199999999999989,5,3,148.40645009788898,150.0
